Document ID,Document Text,Document Type,Grantors,Grantees,Legal Authorities,Acreage,Boundaries,Lot Info,City,County,Province/Colony,Execution Date,Recording Date
000001-0675,"The said Micah Lyman for me my Heirs Executors and Administrators Do covenant and grant to and with the said Benjamin Lyman his Heirs and assigns that the for the Ensealing hereof I am the true sole and lawful owner of the above bargained premises and am lawfully seized and possessed of the same in my own proper right as a good perfect and absolute Estate of Inheritance in fee simple and have in my self good Right full Power and lawful authority to grant bargain sell convey confirm said bargained Premises in manner as aforesaid and that the said Benjamin Lyman his Heirs and assigns shall and may from time to time and at all times forever hereafter by force and virtue of these presents lawfully peaceably and quietly have hold use occupy possess and enjoy the said Demised and bargained premises with the appurtenances freed and cleared of freely and clearly acquitted exonerated and discharged of from all and all manner of former or other gifts grants bargains sales leases Mortgages Wills Entails Jointures Dowries Judgements Executions or Incumbrances of what Name or Nature soever that might in any Measure or Degree Obstruct or make Void this Present Deed. Furthermore I the said Micah Lyman for myself my Heirs Executors and Administrators Do covenant and engage the above Demised Premises to him the said Benjamin Lyman his Heirs and assigns against the lawful claims or Demands of any Person or persons whatsoever forever hereafter to Warrant Secure and Defend by these Presents. In Witness whereof I the said Micah Lyman have hereunto set my hand & seal this Ninth Day of March Anno Dom 1744. Signed Sealed & Delivered in Presence of Timothy Dwight, William Lyman. Micah Lyman [Seal]. Hampshire ss March Ninth 1744: Micah Lyman subscriber to the foregoing Instrument personally appearing acknowledged the same to be his act & deed. Before Tim Dwight Just Pad. Rec'd July 5th 1759 & recorded from the Original. Elias Lyman Reg'r. To all People to whom these Presents shall come Greeting Know ye that William Lyman of Northampton in the County of Hampshire & Province of the Massachusetts Bay in new England For and in consideration of the Sum of Seventy pounds in old tenor bills to me in hand before the Ensealing hereof well...",Deed,Micah Lyman,Benjamin Lyman,"Timothy Dwight, Justice of the Peace, Elias Lyman, Register",,,Described as 'bargained premises' with no specific boundaries provided in the visible portion,Northampton,Hampshire,,"March 9, 1744","July 5, 1759"
000001-0678,"Libert to Thomas Dewey on the North side of the River, now belonging to Elias Pomroy the explainer on the North side of the meadows & Eastwardly as far as to the Home lot of Caleb Pomroy Deceased, bounded Southerly by the brows of the Hill on the South Side of the School meadow & Northerly by the Highway running west on the South Side of the long Division Extending westerly to Pomroys land which Highway is to remain from Tillers Brook aforesaid (or Saw Mill Brook as it is Sometimes called) as it now runs to the top of the Hill on the level land or plain & then to turn Northerly to the Highway on the South Side of the long Division; To Have & To Hold the Sd granted & bargained premises with the privileges & appurtenances to them the said Stephen Wright & Benjamin Lyman & to their Heirs & assigns forever to be in Equal Shares between them (viz) one half thereof to be to the said Stephen Wright his Heirs & assigns forever, the other half to be to the said Benjamin Lyman his Heirs & assigns forever in the manner afores'd to be to their own proper use benefit & behoof forever more. And the Sd John Stoddard Ebenezer Pomroy & Timothy Dwight in the capacity afores'd do hereby Covenant in behalf of Sd Town that before & Until the Executing hereof the Sd Town are lawfull owners & Possessors of the Sd granted & bargained premises & are lawfully Seized & Possessed of the Same & have good right full power & lawfull authority to Convey & Confirm the Same in manner afores'd. Furthermore we the said John Stoddard Ebenezer Pomroy & Timothy Dwight in the capacity afores'd & in behalf of Sd Town do hereby Covenant & Engage the above Demised Premises to them the said Stephen Wright & Benjamin Lyman & to their Heirs & assigns in Equal Shares as afores'd (viz) one half to be to the Sd Stephen Wright his Heirs & assigns forever, the other half to be to the said Benjamin Lyman his Heirs & assigns forever to Warrant Secure & Defend against the lawfull Claims & Demands of all & every Person or persons whatsoever. In Witness whereof we the Sd John Stoddard Ebenezer Pomroy & Timothy Dwight have hereto Set our hands & Seals this 28th Day of May Anno Dom: 1745. Signed Sealed & Delivered in presence of [signatures] John Stoddard & Seal, Eben Pomroy & Seal, Timothy Dwight & Seal, Hampshire ss",Land Deed/Conveyance,"John Stoddard, Ebenezer Pomroy, Timothy Dwight, Town (represented by the signatories)","Stephen Wright, Benjamin Lyman","John Stoddard, Ebenezer Pomroy, Timothy Dwight",Not specified,"North side of the River, North side of the meadows, Eastwardly as far as to the Home lot of Caleb Pomroy Deceased, Southerly by the brows of the Hill on the South Side of the School meadow, Northerly by the Highway running west on the South Side of the long Division, Extending westerly to Pomroys land, From Tillers Brook (or Saw Mill Brook) to the top of the Hill on the level land or plain",Land formerly belonging to Elias Pomroy,Not explicitly stated,Hampshire,,"May 28, 1745",Not specified in visible text
000001-0385,"To all People to whom these Presents Shall Come Greeting. Know ye that I Josiah Loomis of the Province Land west of Sheffield in Hampshire County in the Massachusetts Bay, Do grant sell Establish Convey & Confirm unto Elijah Phelps of Dutchess County in the Province of New York, a certain Tract of land lying in the Province of the Massachusetts above'd. Being a Right of land bought in the Indian purchase, the Contents whereof are as in the Indian Deed for the Consideration of Forty Pounds New York money to me in hand paid by the above Elijah Phelps & I the sd Josiah Loomis Do Warrant & Defend the sd Elijah Phelps in his Heirs or Assigns forever the peaceable Quiet Possession of sd land with all the privileges & appurtenances thereunto belonging or any wise appertaining & I the sd Loomis Do hereby Promise to Warrant & Defend him the sd Phelps his Heirs or Assigns forever Against the lawfull Claims or Claims of any person or Persons whatsoever. In Witness whereof I have hereunto set my hand & Seal this fifth Day of January in the Year of our Lord Christ 1759 & in the 33rd Year of the Reign of Our Sovereign Lord George the 2nd by the Grace of God &c. Signed Sealed & Delivered In presence of Barnabas Paine David Lamb mark. Hampshire ss. March 26 1759 Josiah Loomis the Subscriber to the foregoing Instrument acknowledged the Same to be his act & Deed before Joseph Dwight Just. Pac'd. Rec'd March 26th 1759 & Recorded from the Original Edw. Pynchon Reg'r.",Deed (Land Transfer),Josiah Loomis,Elijah Phelps,"Joseph Dwight, Justice of the Peace, Edw. Pynchon, Register",Not specified,,"A Right of land bought in the Indian purchase, the Contents whereof are as in the Indian Deed",Sheffield (west of),Hampshire County,,"January 5, 1759","March 26, 1759"
000001-0184,"...by these presents do freely fully and absolutely give grant bargain sell alien enfeof and confirm unto him the said Israel Ashley his Heirs and assigns forever a certain tract or parcel of land lying and being within the Township of Westfield, it being at the place called the Sheep Pasture near Pontoosuck Road, it being the Seventh lot on the East side of Pontoosuck Road in the first tier of lots containing fifty-three acres being in width twenty six rods & eight feet and in length three hundred and twenty, bounded Northerly by land of David Ashley, west by land of Alexander Olds partly and South by land formerly Nathaniel Sondey now my own land...",Deed,Nathaniel Williams,"Israel Ashley, his Heirs and assigns","David Mosely, Justice of Peace, Elijah Dwight, Register",fifty-three acres,"Northerly by land of David Ashley, west by land of Alexander Olds partly, South by land formerly Nathaniel Sondey now my own land","Seventh lot on the East side of Pontoosuck Road in the first tier of lots, being in width twenty six rods & eight feet and in length three hundred and twenty",Westfield,,,"April 23, 1783","August 24, 1783"
000001-0362,Parcel of Land lying and being in the East of the Town of Springfield aforesaid on the East Side of the Great River Commonly called Connecticut River in that part of the Town called the outward Commons lying in the Third Division of the outward Commons Being the Eighth lott in Number lying between the lott of David Mirick on the North and of David Mirick on the South being four miles in length and four rods four feet & ten inches in width being the lott that was granted and laid out to Benjamin Stebbins according to the Draft with the rest of the proprietors of the said outward Commons as by the Records and Proceedings of the said Town of Springfield Reference thereunto being had whereof at large TO HAVE and TO HOLD the before granted premises with the appurtenances unto the said David Mirick his Heirs Executors administrators and assigns forever to his and their proper use benefit and behoof forevermore. And I the said Daniel Parsons for my self my Heirs Executors and Administrators Do Covenant promise and grant unto and with the said David Mirick his Heirs and assigns forever that before and untill the Ensealing hereof I am the true proper and lawfull owner and Possessor of the before granted premises with the appurtenances. And have in my self good Right full power and lawfull Authority to give grant bargain sell aliene Release Convey and Confirm the same as before said. And that free and Clear and freely and Clearly Executed acquitted and Discharged of and from all former and other gifts grants bargains sales Releases Mortgages Wills Entails Joyntures Dowries Thirds Executions and Incumbrances whatsoever. And Furthermore I the said Daniel Parsons for my self my Heirs Executors and Administrators Do hereby Covenant promise and Engage the before granted Premises with the appurtenances unto him the said David Mirick his Heirs and assigns forever to Warrant Secure and Defend against the lawfull Claims or Demands of any person or persons whatsoever. In Witness whereof I have hereunto set my hand and seal the Twentieth Day of April in the Seventh Year of George the Second's Reign AD 1767. Signed Sealed and Delivered in Presence of Moses Gunn Thomas Mirick. Daniel Parsons [Seal] Springfield april 30th AD 1767 Then Received the sum of Twenty pounds on the Account of the within written Deed. I say Received by me Daniel Parsons Hampshire ss,Deed,Daniel Parsons,David Mirick,"Moses Gunn, Thomas Mirick",,"David Mirick's lot on the North, David Mirick's lot on the South, East Side of the Great River (Connecticut River)","Eighth lott in Number in the Third Division of the outward Commons, four miles in length and four rods four feet & ten inches in width",Springfield,Hampshire,,"April 20, 1767","April 30, 1767"
000001-0614,"land in manner and form as above written and that the same is free of all incumbrances whatsoever. And furthermore the said Nicholas Ayrault do by these presents bind myself and my Heirs forever to Warrant and defend the above Granted and bargained Premises to him the said Charles Butler and to his Heirs and assigns against all claim and demand whatsoever. In Witness whereof I have hereunto set my hand and Seal the 23rd Day of October in the 13th Year of the Reign of our Sovereign Lord George the Second of Great Britain &c Annoq Domini 1739. Signed Sealed and Delivered In Presence of [Nicholas Ayrault] [seal] John Weston Sarah Chester. Hartford ss. Weathersfield October 23rd 1739. Mr. Nicholas Ayrault personally appeared and acknowledged this Instrument to be his free act and Deed - before me John Chester Justice Peace. Decem 19th 1739 & Recorded from the Original. [Edw Pynchon Regr]. To all People to whom these Presents shall come Greeting. Know ye that I Nicholas Ayrault of Weathersfield in the County of Hartford and Colony of Connecticut in new England For the Consideration of the Sum of Eighty pounds lawful money of said Colony Received to my full satisfaction of Ozias Willcox of Middletown in said County Do give grant bargain sell and confirm unto the said Ozias Willcox & to his Heirs and assigns forever, a certain one Hundred acre Lot No. 42, drawn on the Right Number Forty two lying in the Township of [?] called No. three between Westfield and Sheffield in the County of Hampshire and Province of the Massachusetts Bay as may appear by the Proprietors Book of Records of said Township Together with all the after Divisions to be drawn on said Right Number 42. Together with the just Proportion of Eleven thousand acres of land Granted by the General Assembly of said Province to the 4 Housatonnock Townships which shall --- hereafter be divided on said Right No 42; To Have and To Hold the above Granted and bargained premises with the appurtenances thereof unto him the said Ozias Willcox his Heirs and assigns forever to his and their own proper use and behoof; And also I the said Nicholas Ayrault do...",Land Deed,Nicholas Ayrault,Ozias Willcox,"John Chester, Justice Peace, Edw Pynchon, Registrar",100 acres,between Westfield and Sheffield,"Lot No. 42, drawn on the Right Number Forty two, with all after Divisions to be drawn on said Right Number 42, together with the just Proportion of Eleven thousand acres of land Granted by the General Assembly",Weathersfield,"Hartford County (grantor's location), Hampshire County (property location)",,"October 23, 1739","December 19, 1739"
000001-0552,"To all men by these Presents that I Samuel Loomis of Sheffield in the County of Hampshire and Province of the Massachusetts Bay in new England Husbandman for and in consideration of the sum of forty shillings lawful money paid me by Moses Loomis of the aforesaid aforesaid Husbandman, the receipt whereof I do hereby acknowledge and my self fully satisfied contented and paid, do give Grant bargain sell Release and Confirm unto him the said Moses Loomis his Heirs and assigns one certain Tract or parcel of land belonging to Sheffield old line the west side of Town & said to be in Sheffield being one Half of fifty acre pitch of land laid out to me as a proprietor there said pitch of land bounded North on the Road to Albany East on Sheffield South on common land & west on John Mallen oak land the said Moses Loomis hath taken the North part of said pitch of land. To Have and To Hold the before Granted premises with the appurtenances thereto belonging to him the said Moses Loomis his Heirs and assigns forever with all my Right and Title thereto and I hereby Engage to Warrant and Defend the above to him the said Moses Loomis his Heirs and assigns against the lawful Claims & Demands of any of my Heirs and assigns forever hereafter. In Witness whereof I have hereunto set my Hand and Seal this twenty five Day of February in the thirty first year of His Majesty's Reign Anno Domini 1758. Signed Sealed & Delivered in Presence of Stephen Gunn Joseph Dwight. Samuel Loomis & Seal. Hampshire ss. Feb'y 23, 1758 Sam Loomis the Subscriber to the foregoing Instrument acknowledged the same to be his act & Deed. Coram Joseph Dwight Just'ce Peace. Rec'd april 19th 1759 & Recorded from the Original. Edw. Pynchon Reg'r.",Deed,Samuel Loomis,Moses Loomis,"Stephen Gunn, Joseph Dwight, Edw. Pynchon",Half of fifty acre pitch,"North on the Road to Albany, East on Sheffield, South on common land, West on John Mallen oak land",North part of pitch of land in Sheffield,Sheffield,Hampshire,,"February 25, 1758","April 19, 1759"
000001-0320,"And Administrators Covenant to and with the said Ebenezer Graves his heirs and assigns the said Granted and Released Premises with the Profits Privileges and appurtenances thereto belonging to the said Ebenezer Graves his heirs and assigns forever to Warrant Secure and Defend against the lawful Claims and Demands of any Person or persons claiming under me or my heirs as aforesaid forever. In witness whereof I the said Seth Hudson have hereunto set my hand and Seal this twenty fourth Day of April Anno Domini one thousand seven hundred and fifty two and in the twenty fifth year of his Majesty's Reign. Signed Sealed and Delivered In presence of Isaac Wyman Eph Williams Jun. [Seth Hudson (Seal)] Hampshire July the 13th 1753. Then Seth Hudson personally appeared and acknowledged the within written Instrument to be his free act and Deed. Before Elijah Williams Just. Peace. Recd Decemr 18: 1753 and Recorded from the Original. Pr Ells Lynchorn Regr. To all People to whom these presents shall come I Abner Roberts of Sutton in the County of Worcester & Province of the Massachusetts Bay in new England now Resident at Fort Massachusetts in the County of Hampshire Send Greeting. Know ye that I the said Abner Roberts For and in consideration of the Sum of Ten pounds lawfull money to me in hand and before the Ensealing and delivery hereof paid by Ebenezer Graves of Deerfield in the County of Hampshire now Resident at Fort Massachusetts the Receipt whereof I do hereby Acknowledge and for Divers other good Causes and Considerations me hereunto moving have Remised Released sold and forever quit Claimed, and by these Presents for my self and my Heirs do Remise Release sell and forever quit Claim unto the said Ebenezer Graves all my Right and Title to one half of one Sixth Part of a Certain Township lately laid out at Hoosuck in the County of Hampshire of the Contents of Six mile Square Except the House lot No 14 viz the one Moiety or half part of all the Rights and Divisions of land belonging to or that may be laid out to House lot No 14 and over & above sd Moiety ten acres of meadow land that does or may belong to sd lot No 14 together with all the Estate Right Title Interest and property Claim and Demand whatsoever of I the said Abner Roberts now have or at any time heretofore Had",Deed/Quitclaim Deed,"Seth Hudson, Abner Roberts",Ebenezer Graves,"Elijah Williams, Justice of Peace, Ells Lynchorn, Registrar",Ten acres of meadow land plus one half of one sixth part of township,Township at Hoosuck of Six mile Square,"One half of one sixth part of township, excepting House lot No. 14, plus rights to divisions of land belonging to House lot No. 14","['Sutton', 'Deerfield', 'Hoosuck']","['Worcester County', 'Hampshire County']",,"April 24, 1752 (first deed); Date not fully visible for second deed","December 18, 1753"
000001-0329,"South East of said River and the North East Corner of the tract of land begins at the bank of said River which Corner being the Norwest Corner of Land formerly in the Possession of Minchas Stephens, then runs South bounding on said Stevens land to the Town line then westerly upon the Town line & said River till it makes up the Complement of Two Hundred acres Binding on said River. To Have and To Hold the said Granted and bargained Premises with all the appurtenances Privileges and Commodities to the Same belonging or in any wise appertaining to him the said Isaac Smith his Heirs and assigns forever to his and their only proper use benefit and behoof forever And I the said Thomas Stearns for my self my Heirs Executors and Administrators do Covenant Promise and Grant to and with the said Isaac Smith his Heirs and assigns that before [unclear] the Ensealing hereof I am the True Sole and lawfull owner of the above bargained Premises and am lawfully Seized and Possessed of the Same in my own proper Right as a good perfect and absolute Estate of Inheritance in Fee Simple and have in my Self good Right full power and lawfull authority to grant bargain Sell convey and Confirm said bargained Premises in manner as aforesaid And that the said Isaac Smith his Heirs and assigns Shall and may from time to time and at all times forever hereafter by force and Virtue of these presents lawfully peaceably and quietly Have hold use occupy Possess and Enjoy the said Demised and bargained Premises with the appurtenances free and Clear and freely and Clearly Acquitted Exonerated and Discharged of from all and all manner of former or other gifts grants bargains Sales leases Mortgages Wills Entails joyntures Dowers Judgements Executions or Incumbrances of what Name or Nature soever that might in any measure or Degree Obstruct or make void this Present Deed. Furthermore I the said Thomas Stearns for my Self my Heirs Executors and Administrators Do Covenant and Engage the above Demised Premises to him the said Isaac Smith his Heirs and assigns against the lawfull Claims or Demands of any Person or persons whatsoever forever hereafter to Warrant Secure and Defend by these presents. In Witness whereof I the said Thomas Stearns have hereunto set my hand and Seal this Nineteenth Day of December A.D. 1783 and in the [?] Second",Deed,Thomas Stearns,Isaac Smith,,Two Hundred acres,"Begins at the bank of said River, Northwest Corner being the Northwest Corner of Land formerly in the Possession of Minchas Stephens, Runs South bounding on said Stevens land to the Town line, Then westerly upon the Town line & said River",Tract of land binding on said River,,,,Nineteenth Day of December A.D. 1783,
000001-0237,"Said Elijah Alford his heirs and assigns forever, a certain tract of land containing the acres & whole now situate in Northfield lying East of the fall field where said Elijah Alford's house now stands and said land is bounded west by a Private way that lies along by the East End of the fall field lots and on all other sides by common land said land being Originally as William Murray's second choice in the 400 acres Division as may more fully be seen by Record on the proprietors book page 161 Reference thereto being had To Have and To Hold the granted and bargained Premises together with all their appurtenances freed of all incumbrances whatsoever to him the said Elijah Alford his heirs and assigns as an absolute Estate of Inheritance in Fee Simple Forever And we the said Stephen & Rachel Warner for our Selves our heirs Executors and administrators Do covenant and Engage the above Demised Premises to him the said Elijah Alford his heirs and assigns against the lawfull Claims and Demands of any Person or Persons whatsoever forever hereafter to Warrant Secure and Defend by these presents In Witness whereof we do hereunto set our hands and seals this seventeenth Day of August Anno Domini one thousand seven hundred and fifty seven in the thirty first year of the Reign of our Sovereign Lord George the Second by the Grace of God King &c Signed Sealed and Delivered in Presence of Eleazer Warner Elijah Morton. Stephen Warner his mark Rachel Warner her mark Recd September 18th 1758 and Recorded from the Original by Edw. Pynchon Regr. [New document begins] Know all men by these Presents that I Grace Hubbard of Sunderland in the County of Hampshire in his Majesties Province of the Massachusetts Bay in New England for and in Consideration of the Sum of one Hundred pounds in money to me in hand before Sealing & Delivery hereof well & truly paid by my Son David",Deed,"Stephen Warner, Rachel Warner","Elijah Alford, his heirs and assigns","Edw. Pynchon, Regr.",Not specifically stated in acres,"West by a Private way that lies along by the East End of the fall field lots, On all other sides by common land","Originally as William Murray's second choice in the 400 acres Division, reference on proprietors book page 161",Northfield,Hampshire,,"August 17, 1757","September 18, 1758"
000001-0499,Do covenant and engage the above Demised Premises to him the said Charles Hoar his Heirs and assigns against the lawful Claims or Demands of any Person or persons whatsoever forever hereafter to Warrant Secure and Defend. In Witness whereof I have hereunto set my hand and seal this twenty fifth Day of September in the thirty Second Year of the Reign of George the Second King of Great Britain &c Anno Domini 1758. Signed Sealed and Delivered In Presence of [William Warriner Archibald Graham] [Bezaleel Sherman (seal)] Hampshire ss. Brimfield January the 4th 1759 Bezaleel Sherman Subscriber to the aforegoing Instrument appeared & acknowledged the same to be his act & Deed. Before John Sherman Just. Pacis. Recd March 26th 1759 & Recorded from the Original. [Edwd Pynchon Regr.] To all People to whom these presents shall come Greeting: Know ye that I Isaac Morgan of Brimfield in the County of Hampshire in the Province of the Massachusetts Bay in new England Yeoman for and in consideration of the Sum of two pounds fifteen shillings lawful money of ye Province to me in hand before the Ensealing hereof well & truly paid by Charles Hoar of Brimfield in the County & Province aforesaid the Receipt whereof I do hereby acknowledge & my self fully Satisfied Contented & paid Have Given Granted bargained Sold Aliened Released Conveyed & Confirmed & by these Presents do freely Clearly & absolutely give Grant bargain Sell Alien Release Convey & Confirm unto him the said Charles Hoar his Heirs & assigns forever one acre & 36 rods of Land lying situate in said Brimfield & lyeth South Easterly from sd Isaac Morgans now Dwelling House on the South Side of ye Highway that goes along by sd Isaac Morgans House being in the Easterly End of Isaac Land & is bounded Easterly & Southerly by sd Charles Hoars own land westerly by Said Isaac Morgans own land & Northerly by sd Highway sd piece of land being ten rods wide at the North End by the road & 40 rod long on the west line & thirteen rods & half wide at the South End & 36 rod Seventeen rods on the East line next to sd Hoars own land. To Have and To Hold the said Granted & bargained Premises with the appurtenances,Deed,Isaac Morgan,Charles Hoar,"John Sherman, Justice of the Peace, Edwd Pynchon, Registrar",one acre & 36 rods,"Easterly & Southerly by Charles Hoars own land, westerly by Isaac Morgans own land, Northerly by Highway, ten rods wide at the North End by the road, 40 rod long on the west line, thirteen rods & half wide at the South End, 36 rod Seventeen rods on the East line",lying situate in Brimfield & lyeth South Easterly from Isaac Morgans now Dwelling House on the South Side of ye Highway,Brimfield,Hampshire,,"September 25, 1758","March 26, 1759"
